,text,airline_sentiment,demoji,cleaned,no_sw,wo_stopfreq,wo_stopfreq_lem
8966,@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.,negative,@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then., is there a better time to call? my flight is on friday and i need to change it. worried i may be on hold until then.,time call? flight friday change it. worried hold then.,time call? friday change it. worried then.,time call? friday change it. worried then.
8967,@USAirways and when will one of these agents be available to speak?,negative,@USAirways and when will one of these agents be available to speak?, and when will one of these agents be available to speak?,agents available speak?,agents available speak?,agents available speak?
8970,@USAirways just hung up on me again.  Another waste of an hour of my time.  How am I supposed to book a one way award flight?  #badwebsite,negative,@USAirways just hung up on me again.  Another waste of an hour of my time.  How am I supposed to book a one way award flight?  #badwebsite, just hung up on me again. another waste of an hour of my time. how am i supposed to book a one way award flight? #badwebsite,hung again. waste hour time. supposed book award flight? #badwebsite,hung again. waste hour time. supposed book award flight? #badwebsite,hung again. waste hour time. supposed book award flight? #badwebsite
8972,@USAirways you're killing me from the inside,negative,@USAirways you're killing me from the inside, you're killing me from the inside,killing inside,killing inside,killing inside
8973,@USAirways is not the new @AmericanAir is more like the new @SpiritAirlines. Love AA. Not impressed with the subpar planes and gate agents.,negative,@USAirways is not the new @AmericanAir is more like the new @SpiritAirlines. Love AA. Not impressed with the subpar planes and gate agents., is not the new is more like the new . love aa. not impressed with the subpar planes and gate agents.,. love aa. impressed subpar planes gate agents.,. love aa. impressed subpar planes gate agents.,. love aa. impressed subpar planes gate agents.
8976,@USAirways flight 645 to Phoenix deboards passengers going to Salt Lake City because they can't resolve a simple bathroom issue. #fail,negative,@USAirways flight 645 to Phoenix deboards passengers going to Salt Lake City because they can't resolve a simple bathroom issue. #fail, flight 645 to phoenix deboards passengers going to salt lake city because they can't resolve a simple bathroom issue. #fail,flight 645 phoenix deboards passengers salt lake city resolve simple bathroom issue. #fail,645 phoenix deboards passengers salt lake city resolve simple bathroom issue. #fail,645 phoenix deboards passengers salt lake city resolve simple bathroom issue. #fail
8977,@USAirways always fun to get screwed out of an earlier flight (that isn't full) #crummyservice #whydidntiflysouthwest #goodluckamericanair,negative,@USAirways always fun to get screwed out of an earlier flight (that isn't full) #crummyservice #whydidntiflysouthwest #goodluckamericanair, always fun to get screwed out of an earlier flight (that is not full) #crummyservice #whydidntiflysouthwest #goodluckamericanair,fun screwed earlier flight (that full) #crummyservice #whydidntiflysouthwest #goodluckamericanair,fun screwed earlier (that full) #crummyservice #whydidntiflysouthwest #goodluckamericanair,fun screwed earlier (that full) #crummyservice #whydidntiflysouthwest #goodluckamericanair
8979,@USAirways ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded.,negative,@USAirways ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded., ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we have not boarded.,ok...i doors close ~10 minutes takeoff. stop telling flight leave 20 minutes boarded.,ok...i doors close ~10 minutes takeoff. stop telling leave 20 minutes boarded.,ok...i doors close ~10 minutes takeoff. stop telling leave 20 minutes boarded.
8980,@USAirways I finally got through on the phone after a 2 hour wait time.,negative,@USAirways I finally got through on the phone after a 2 hour wait time., i finally got through on the phone after a 2 hour wait time.,finally phone 2 hour wait time.,finally phone hour wait time.,finally phone hour wait time.
8981,@USAirways Been stuck for 40+ minutes due to lavatory issues. No beverages. No snacks. No customer service. Flt 645 to PHO... #fail #refund,negative,@USAirways Been stuck for 40+ minutes due to lavatory issues. No beverages. No snacks. No customer service. Flt 645 to PHO... #fail #refund, been stuck for 40+ minutes due to lavatory issues. no beverages. no snacks. no customer service. flt 645 to pho... #fail #refund,stuck 40+ minutes due lavatory issues. beverages. snacks. customer service. flt 645 pho... #fail #refund,stuck 40+ minutes due lavatory issues. beverages. snacks. service. flt 645 pho... #fail #refund,stuck 40+ minutes due lavatory issues. beverages. snacks. service. flt 645 pho... #fail #refund
8983,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.,negative,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable., i've been on hold to change a date on a ticket for over 3 hours. can someone please assist me? unacceptable.,hold change date ticket 3 hours. assist me? unacceptable.,change date ticket 3 hours. assist me? unacceptable.,change date ticket 3 hours. assist me? unacceptable.
8984,@USAirways thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer,negative,@USAirways thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer, thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer,4 making impossibly expensive 2 change 2 flight leaving 24 hrs earlier reservation #1lesscustomer,4 making impossibly expensive change leaving 24 hrs earlier reservation #1lesscustomer,4 making impossibly expensive change leaving 24 hrs earlier reservation #1lesscustomer
8986,@USAirways I cant get anyone on the phone to help with award travel.Purchased extra miles and 10 minutes Late Flightr the miles needed was raised.,negative,@USAirways I cant get anyone on the phone to help with award travel.Purchased extra miles and 10 minutes Late Flightr the miles needed was raised., i cant get anyone on the phone to help with award travel.purchased extra miles and 10 minutes late flightr the miles needed was raised.,phone award travel.purchased extra miles 10 minutes late flightr miles needed raised.,phone award travel.purchased extra miles 10 minutes late flightr miles needed raised.,phone award travel.purchased extra miles 10 minutes late flightr miles needed raised.
8987,@USAirways Why haven't you issued a travel advisory for Charlotte Wednesday night and Thursday? 4-6 inches of snow.,negative,@USAirways Why haven't you issued a travel advisory for Charlotte Wednesday night and Thursday? 4-6 inches of snow., why have not you issued a travel advisory for charlotte wednesday night and thursday? 4-6 inches of snow.,issued travel advisory charlotte wednesday night thursday? 4-6 inches snow.,issued travel advisory charlotte wednesday night thursday? 4-6 inches snow.,issued travel advisory charlotte wednesday night thursday? 4-6 inches snow.
8989,@USAirways DeeDee and Lynn S. have been great here in PHX; Richard P. here was a jerk. Rude to us and our parents for no reason.,negative,@USAirways DeeDee and Lynn S. have been great here in PHX; Richard P. here was a jerk. Rude to us and our parents for no reason., deedee and lynn s. have been great here in phx; richard p. here was a jerk. rude to us and our parents for no reason.,deedee lynn s. great phx; richard p. jerk. rude parents reason.,deedee lynn s. great phx; richard p. jerk. rude parents reason.,deedee lynn s. great phx; richard p. jerk. rude parents reason.
8990,@USAirways thanks for making me miss my meeting in Dallas. 700 dollars down the toilet 😊,negative,@USAirways thanks for making me miss my meeting in Dallas. 700 dollars down the toilet :smiling_face_with_smiling_eyes:, thanks for making me miss my meeting in dallas. 700 dollars down the toilet :smiling_face_with_smiling_eyes:,making miss meeting dallas. 700 dollars toilet :smiling_face_with_smiling_eyes:,making miss meeting dallas. 700 dollars toilet :smiling_face_with_smiling_eyes:,making miss meeting dallas. 700 dollars toilet :smiling_face_with_smiling_eyes:
8991,@USAirways I have two tight connections in #Charlotte and #Frankfurt,negative,@USAirways I have two tight connections in #Charlotte and #Frankfurt, i have two tight connections in #charlotte and #frankfurt,tight connections #charlotte #frankfurt,tight connections #charlotte #frankfurt,tight connections #charlotte #frankfurt
8992,"@USAirways Said only way to get on plane about to leave that would make my connection was a $75 fee. Instead of earlier, I am now Late Flightr!",negative,"@USAirways Said only way to get on plane about to leave that would make my connection was a $75 fee. Instead of earlier, I am now Late Flightr!"," said only way to get on plane about to leave that would make my connection was a $75 fee. instead of earlier, i am now late flightr!","plane leave make connection $75 fee. instead earlier, late flightr!","leave make connection $75 fee. instead earlier, late flightr!","leave make connection $75 fee. instead earlier, late flightr!"
8994,"@USAirways ur ""response"" was: my ""inconvenience was of no matter."" U wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair",negative,"@USAirways ur ""response"" was: my ""inconvenience was of no matter."" U wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair"," you are ""response"" was: my ""inconvenience was of no matter."" u wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair","""response"" was: ""inconvenience matter."" wanted 3 xtra nights city w/out comp! #donotflyusair","""response"" was: ""inconvenience matter."" wanted 3 xtra nights city w/out comp! #donotflyusair","""response"" was: ""inconvenience matter."" wanted 3 xtra nights city w/out comp! #donotflyusair"
9000,@USAirways Sadly I'm currently booked on one of your flights tomorrow that I will be changing if I can.,negative,@USAirways Sadly I'm currently booked on one of your flights tomorrow that I will be changing if I can., sadly i'm currently booked on one of your flights tomorrow that i will be changing if i can.,sadly currently booked flights tomorrow changing can.,sadly currently booked flights tomorrow changing can.,sadly currently booked flights tomorrow changing can.
9002,@USAirways standby so far for two of us. With snow storm hitting Iowa tomorrow we could be stuck here for two days.,negative,@USAirways standby so far for two of us. With snow storm hitting Iowa tomorrow we could be stuck here for two days., standby so far for two of us. with snow storm hitting iowa tomorrow we could be stuck here for two days.,standby us. snow storm hitting iowa tomorrow stuck days.,standby us. snow storm hitting iowa tomorrow stuck days.,standby us. snow storm hitting iowa tomorrow stuck days.
9005,@USAirways Why can't I check in online for a flight tomorrow am?,negative,@USAirways Why can't I check in online for a flight tomorrow am?, why can't i check in online for a flight tomorrow am?,check online flight tomorrow am?,check online tomorrow am?,check online tomorrow am?
9006,@USAirways - been standing at the gate for 45 min trying to go standby bc I will miss my connection. No help! Do NOT fly US AIRWAYS!,negative,@USAirways - been standing at the gate for 45 min trying to go standby bc I will miss my connection. No help! Do NOT fly US AIRWAYS!, - been standing at the gate for 45 min trying to go standby bc i will miss my connection. no help! do not fly us airways!,- standing gate 45 standby miss connection. help! fly airways!,- standing gate 45 standby miss connection. help! fly airways!,- standing gate 45 standby miss connection. help! fly airways!
9007,"@USAirways after being assured by the pleasant woman at gate B11 in Albany, NY that life's not perfect, I'd heard enough.",negative,"@USAirways after being assured by the pleasant woman at gate B11 in Albany, NY that life's not perfect, I'd heard enough."," after being assured by the pleasant woman at gate b11 in albany, ny that life's not perfect, i'd heard enough.","assured pleasant woman gate b11 albany, ny life's perfect, heard enough.","assured pleasant woman gate b11 albany, ny life's perfect, heard enough.","assured pleasant woman gate b11 albany, ny life's perfect, heard enough."
