0	1
gate	agents
job	today
http	co
call	center
helping	home
home	today
instead	tomorrow
late	flight
please	folded_hands
folded_hands	folded_hands
cancelled	flightled
work	with
staff	amazing
dfw	clt
flights	home
desk	charlotte
check	in
booking	problemss
reflight	booking
keeping	informed
travel	customerservice
gate	agent
lost	found
appreciate	it
booking	problems
yvonne	anthony
phl	fll
eliz	super
best	please
folded_hands	victory_hand
victory_hand	victory_hand
victory_hand	folded_hands
airways	please
back	folded_hands
folded_hands	crying_face
crying_face	crying_face
crying_face	folded_hands
amazing	best
