0	1
time	call
hour	time
book	award
award	flight
planes	gate
gate	agents
salt	lake
doors	close
close	minutes
minutes	takeoff
leave	minutes
phone	hour
hour	wait
wait	time
assist	me
expensive	change
award	travel
miles	minutes
minutes	late
late	flightr
issued	travel
travel	advisory
making	miss
make	connection
flights	tomorrow
snow	storm
check	online
online	tomorrow
miss	connection
connection	help
fly	airways
agent	phone
contact	info
waiting	mins
you	minutes
minutes	hold
hold	understand
http	co
minutes	now
flying	again
flighted	flight
love	guys
finish	hour
book	voucher
talk	person
bag	delivered
find	bag
left	airport
horrible	experience
experience	you
fly	again
family	emergency
bag	lost
lost	phone
dividend	miles
miles	account
open	seats
hung	on
rebook	flighted
worst	service
real	live
live	person
luggage	lost
lost	days
airways	again
2nd	time
time	airline
rebooked	day
speak	someone
flightled	dca
dca	bos
losing	luggage
calling	delayed
makes	sense
reservation	online
week	ago
ur	system
due	weather
call	back
back	late
providing	poor
poor	service
fix	problem
reflight	booking
booking	problems
baggage	team
give	free
leaving	minutes
agent	minutes
back	feature
mechanical	issue
checked	bags
lost	bag
gate	agent
worst	airline
airline	ever
flights	delayed
back	gate
days	late
stranded	funeral
clt	phl
rude	employee
told	to
change	reservation
luggage	delivery
supposed	delivered
spend	money
loyal	customer
days	respond
make	reservation
reservation	make
make	excuses
excuses	usairwaysfail
day	home
bag	arrived
day	late
bought	tix
told	back
picks	phone
months	miles
miles	credited
send	email
credit	card
account	told
1hr	late
late	flight
flight	made
flown	airways
single	time
money	back
round	trip
stuck	tarmac
late	flightly
lost	luggage
talk	real
real	person
cust	svc
speak	human
bougth	ticket
snack	basket
time	what
called	times
real	human
human	being
travel	agency
usairways	accept
hate	you
refund	money
50k	miles
miles	shown
bos	clt
awful	experience
row	seat
put	back
mins	late
minutes	reservation
problems	flights
flights	today
big	problem
again	neveragain
book	travel
weather	excuse
delay	missed
missed	connection
reach	human
time	fly
fly	guys
delayed	minutes
minutes	time
great	experience
air	again
answer	phone
lost	found
past	days
agent	phx
customer	relations
ground	crew
delayed	due
argued	with
strikes	again
travel	day
back	home
hr	layover
wrong	destination
lost	baggage
free	number
hang	me
phone	number
maintenance	issues
dca	flighted
1st	class
class	seat
chairman	preferred
middle	seat
every	single
wait	times
times	help
too	help
travel	experience
experience	life
ticket	counter
delayed	miss
empty	seats
different	airport
home	day
derrick	bussey
fly	airline
explain	issue
check	bag
tarmac	hour
reservations	phone
phone	system
confirmation	code
flightled	flights
flights	yesterday
checked	bag
change	seats
speak	agent
baggage	claim
blame	weather
boarding	pass
delays	due
multiple	times
hrs	late
arrive	late
guys	lost
ground	power
weather	issues
water	run
run	planet
planet	smallest
smallest	water
water	bottles
mel	sticker
spent	hour
hour	phone
stated	issues
issues	as
missed	connecting
connecting	flight
stuck	philadelphia
phone	guy
guy	help
again	http
connection	due
home	today
left	gate
gate	mins
dm	me
gt	ctl
ctl	ctl
ctl	gt
flying	guys
site	shows
on	time
shows	delayed
flt	phx
due	maintenance
pick	phone
flt	gate
minutes	waiting
made	miss
arrive	time
horrible	service
due	lack
automated	system
system	busy
hang	up
